GradeID,Created,Updated,ContactID,CourseID,CourseName,Score
675680,"6/2/2020 10:28:30 AM","6/2/2020 10:28:30 AM",8796,1407,"Neuromuscular Massage_800",98
675682,"6/2/2020 10:29:44 AM","6/2/2020 10:29:44 AM",8347,1407,"Neuromuscular Massage_800",93
675683,"6/2/2020 11:17:01 AM","6/2/2020 11:17:01 AM",8955,1407,"Neuromuscular Massage_800",93
675684,"6/2/2020 11:17:28 AM","6/2/2020 11:17:28 AM",8934,1407,"Neuromuscular Massage_800",76
675685,"6/2/2020 11:17:54 AM","6/2/2020 11:17:54 AM",8932,1407,"Neuromuscular Massage_800",94
675686,"6/2/2020 1:05:44 PM","9/15/2020 4:25:07 PM",8933,1407,"Neuromuscular Massage_800",84
675690,"6/2/2020 1:11:48 PM","9/15/2020 4:38:46 PM",8897,1407,"Neuromuscular Massage_800",95
675692,"6/2/2020 1:18:31 PM","9/15/2020 4:50:58 PM",8988,1407,"Neuromuscular Massage_800",86
675693,"6/2/2020 1:19:18 PM","9/15/2020 4:44:33 PM",8910,1407,"Neuromuscular Massage_800",93
675694,"6/2/2020 1:20:11 PM","9/15/2020 4:33:04 PM",8931,1407,"Neuromuscular Massage_800",81
675697,"6/2/2020 1:29:19 PM","6/2/2020 1:29:19 PM",8418,1420,"Oncology Massage",
675698,"6/2/2020 1:30:12 PM","6/2/2020 1:30:12 PM",8429,1420,"Oncology Massage",
675699,"6/2/2020 1:30:31 PM","6/2/2020 1:30:31 PM",8386,1420,"Oncology Massage",
675700,"6/2/2020 1:31:17 PM","8/13/2020 10:46:24 AM",8638,1420,"Oncology Massage",100
675701,"6/2/2020 3:06:24 PM","6/2/2020 3:06:24 PM",8824,1407,"Neuromuscular Massage_800",94
675702,"6/2/2020 3:07:07 PM","6/2/2020 3:07:07 PM",8699,1407,"Neuromuscular Massage_800",79
675703,"6/5/2020 12:52:31 PM","8/13/2020 4:46:44 PM",8490,1295,"Business Practices",84
675704,"6/5/2020 12:57:37 PM","9/15/2020 5:22:11 PM",8903,1407,"Neuromuscular Massage_800",95
675705,"6/5/2020 12:58:24 PM","9/15/2020 5:03:27 PM",8661,1407,"Neuromuscular Massage_800",99
675707,"6/5/2020 1:00:59 PM","9/15/2020 5:05:57 PM",8885,1407,"Neuromuscular Massage_800",100
675708,"6/8/2020 3:01:23 PM","6/8/2020 3:01:23 PM",2637,1274,"Anatomy & Physiology 1A_750v2",99
675709,"6/8/2020 3:02:32 PM","6/8/2020 3:02:32 PM",9071,1274,"Anatomy & Physiology 1A_750v2",99
675710,"6/8/2020 3:03:29 PM","6/8/2020 3:04:37 PM",9071,1289,"Basic Swedish Massage A_750v2",95
675711,"6/8/2020 3:05:37 PM","6/8/2020 3:05:37 PM",9071,1369,"Interpersonal Communications_750v2",100
675712,"6/9/2020 2:03:51 PM","8/13/2020 12:40:47 PM",8584,1420,"Oncology Massage",96
675713,"6/11/2020 10:37:21 PM","6/11/2020 10:37:21 PM",9032,1720,"Anatomy & Physiology 1B_750v2",95
675714,"6/12/2020 5:01:15 PM","6/12/2020 5:01:15 PM",8868,1357,"Hydrotherapy_750v2",73
675715,"6/12/2020 5:01:52 PM","6/12/2020 5:01:52 PM",8907,1357,"Hydrotherapy_750v2",95
675716,"6/12/2020 5:02:27 PM","6/12/2020 5:02:27 PM",8898,1357,"Hydrotherapy_750v2",95
675717,"6/14/2020 9:05:14 PM","6/14/2020 9:05:14 PM",9102,1289,"Basic Swedish Massage A_750v2",100
675718,"6/14/2020 9:08:11 PM","6/14/2020 9:08:11 PM",9087,1289,"Basic Swedish Massage A_750v2",100
675719,"6/14/2020 9:08:29 PM","6/14/2020 9:08:29 PM",9021,1289,"Basic Swedish Massage A_750v2",100
675720,"6/14/2020 9:08:43 PM","6/14/2020 9:08:43 PM",9047,1289,"Basic Swedish Massage A_750v2",100
675721,"6/14/2020 11:55:31 PM","6/14/2020 11:55:31 PM",8418,1395,"Medical Massage",73
675722,"6/14/2020 11:59:23 PM","6/14/2020 11:59:23 PM",8435,1395,"Medical Massage",92
675723,"6/15/2020 12:00:10 AM","6/15/2020 12:00:10 AM",8429,1395,"Medical Massage",94
675724,"6/15/2020 12:00:54 AM","6/15/2020 12:00:54 AM",8386,1395,"Medical Massage",84
675725,"6/15/2020 12:01:25 AM","6/15/2020 12:01:25 AM",8584,1395,"Medical Massage",93
675726,"6/15/2020 12:02:05 AM","6/15/2020 12:02:05 AM",8638,1395,"Medical Massage",95
675727,"6/15/2020 11:56:16 AM","6/15/2020 11:56:41 AM",8204,1274,"Anatomy & Physiology 1A_750v2",80
675728,"6/15/2020 11:56:29 AM","6/15/2020 11:56:55 AM",8204,1289,"Basic Swedish Massage A_750v2",90
675729,"6/15/2020 11:57:33 AM","6/15/2020 11:57:33 AM",8204,1369,"Interpersonal Communications_750v2",100
675730,"6/15/2020 11:58:04 AM","6/15/2020 12:10:23 PM",8204,1277,"Anatomy & Physiology 1B",71
675731,"6/15/2020 12:02:59 PM","6/15/2020 12:10:41 PM",8204,1286,"Basic Swedish B",83
675732,"6/15/2020 12:04:30 PM","6/15/2020 12:11:23 PM",8204,1443,"Self-Care",96
675733,"6/15/2020 12:05:06 PM","6/15/2020 12:11:44 PM",8204,1385,"Kinetic Anatomy_750v2",91
675734,"6/15/2020 12:05:25 PM","6/15/2020 12:12:16 PM",8204,1280,"Anatomy & Physiology 2_750v2",81
675735,"6/15/2020 12:06:17 PM","6/15/2020 12:12:38 PM",8204,1357,"Hydrotherapy_750v2",100
675736,"6/15/2020 12:06:37 PM","6/15/2020 12:12:55 PM",8204,1435,"Reflexology_750v2",83
675737,"6/15/2020 12:07:01 PM","6/15/2020 12:13:35 PM",8204,1262,"Advanced Massage Techniques_750v2",70
675738,"6/15/2020 12:07:19 PM","6/15/2020 12:14:05 PM",8204,1421,"Pathology_750v2",86
675739,"6/15/2020 12:14:44 PM","6/15/2020 12:14:44 PM",8204,1337,"Eastern Movement Therapies_750v2",100
675740,"6/15/2020 12:15:18 PM","6/15/2020 12:15:18 PM",8204,1407,"Neuromuscular Massage_800",89
675741,"6/15/2020 12:15:57 PM","6/15/2020 12:16:58 PM",8204,1429,"Professional Development",95
675742,"6/15/2020 12:17:32 PM","6/15/2020 12:17:32 PM",8204,1458,"Sports Massage_800",96
675743,"6/15/2020 12:17:59 PM","6/15/2020 12:17:59 PM",8204,1344,"Ethics & Professionalism_800",100
675744,"6/15/2020 12:18:25 PM","6/15/2020 12:18:25 PM",8204,1465,"Wellness & Nutrition_800",86
675745,"6/15/2020 12:18:49 PM","6/15/2020 12:18:49 PM",8204,1382,"Joint & Stretch_800",97
675746,"6/15/2020 12:40:34 PM","6/15/2020 12:51:24 PM",8204,1295,"Business Practices",90
675747,"6/15/2020 12:56:20 PM","6/15/2020 12:56:20 PM",8204,1363,"Integrative Massage",89
675748,"6/15/2020 1:01:36 PM","6/15/2020 1:01:36 PM",8204,1454,"Special Populations Massage",100
675749,"6/15/2020 1:02:58 PM","6/15/2020 1:02:58 PM",8204,1313,"Common Medical Conditions",100
675750,"6/15/2020 1:06:29 PM","6/15/2020 1:06:29 PM",8204,1283,"Assessment & Documentation Skills",100
675751,"6/15/2020 1:08:37 PM","6/15/2020 1:08:37 PM",8204,1394,"MBLEX Prep/CPR/First Aid",100
675752,"6/15/2020 1:10:32 PM","6/15/2020 1:10:32 PM",8204,1319,"Corrective Exercise Specialis",92
675753,"6/15/2020 1:10:58 PM","6/15/2020 1:10:58 PM",8204,1448,"Spa Treatments",93
675754,"6/15/2020 1:11:11 PM","6/15/2020 1:11:11 PM",8204,1406,"Movement Modalities",100
675755,"6/15/2020 1:11:39 PM","6/15/2020 1:11:39 PM",8204,1307,"Clinical Internship (7)",100
675756,"6/15/2020 1:12:02 PM","6/15/2020 1:12:02 PM",8204,1327,"Craniosacral Therapy",95
675757,"6/15/2020 1:12:17 PM","6/15/2020 1:12:17 PM",8204,1343,"Energy Balancing",92
675758,"6/15/2020 1:12:36 PM","6/15/2020 1:12:36 PM",8204,1336,"Eastern Bodywork Techniques",73
675759,"6/15/2020 1:12:57 PM","6/15/2020 1:12:57 PM",8204,1311,"Clinical Internship (8)",100
675760,"6/15/2020 1:13:22 PM","6/15/2020 1:13:22 PM",8204,1395,"Medical Massage",97
675761,"6/15/2020 1:13:40 PM","6/15/2020 1:13:40 PM",8204,1393,"Massage in a Healthcare Setting",92
675762,"6/15/2020 1:13:54 PM","6/15/2020 1:13:54 PM",8204,1420,"Oncology Massage",100
675763,"6/15/2020 1:14:07 PM","6/15/2020 1:14:07 PM",8204,1312,"Clinical Internship (9)",100
675764,"6/15/2020 1:44:19 PM","6/15/2020 1:44:19 PM",8326,1274,"Anatomy & Physiology 1A_750v2",95
675765,"6/15/2020 1:44:39 PM","6/15/2020 1:44:39 PM",8326,1289,"Basic Swedish Massage A_750v2",92
675766,"6/15/2020 1:45:02 PM","6/15/2020 1:45:02 PM",8326,1369,"Interpersonal Communications_750v2",99
675767,"6/15/2020 1:45:59 PM","6/15/2020 1:45:59 PM",8326,1277,"Anatomy & Physiology 1B",85
675768,"6/15/2020 1:46:57 PM","6/15/2020 1:46:57 PM",8326,1286,"Basic Swedish B",91
675769,"6/15/2020 1:47:25 PM","6/15/2020 1:47:25 PM",8326,1443,"Self-Care",100
675770,"6/15/2020 1:48:00 PM","6/15/2020 1:48:00 PM",8326,1385,"Kinetic Anatomy_750v2",79
675771,"6/15/2020 1:48:24 PM","6/15/2020 1:48:24 PM",8326,1280,"Anatomy & Physiology 2_750v2",82
675772,"6/15/2020 1:48:43 PM","6/15/2020 1:48:43 PM",8326,1357,"Hydrotherapy_750v2",100
675773,"6/15/2020 1:49:01 PM","6/15/2020 1:49:01 PM",8326,1435,"Reflexology_750v2",97
675774,"6/15/2020 1:49:32 PM","6/15/2020 1:49:32 PM",8326,1262,"Advanced Massage Techniques_750v2",86
675775,"6/15/2020 1:49:58 PM","6/15/2020 1:49:58 PM",8326,1421,"Pathology_750v2",89
675776,"6/15/2020 1:50:18 PM","6/15/2020 1:50:18 PM",8326,1337,"Eastern Movement Therapies_750v2",98
675777,"6/15/2020 1:51:01 PM","6/15/2020 1:51:01 PM",8326,1407,"Neuromuscular Massage_800",98
675778,"6/15/2020 1:51:16 PM","6/15/2020 1:51:16 PM",8326,1429,"Professional Development",98
675779,"6/15/2020 1:51:32 PM","6/15/2020 1:51:32 PM",8326,1458,"Sports Massage_800",96
675780,"6/15/2020 1:51:46 PM","6/15/2020 1:51:46 PM",8326,1344,"Ethics & Professionalism_800",100
675781,"6/15/2020 1:52:03 PM","6/15/2020 1:52:03 PM",8326,1465,"Wellness & Nutrition_800",98
675782,"6/15/2020 1:52:23 PM","6/15/2020 1:52:23 PM",8326,1382,"Joint & Stretch_800",99
675783,"6/15/2020 1:53:07 PM","6/15/2020 1:53:07 PM",8326,1295,"Business Practices",96
675784,"6/15/2020 1:53:47 PM","6/15/2020 1:53:47 PM",8326,1363,"Integrative Massage",89
675785,"6/15/2020 1:54:26 PM","6/15/2020 1:54:26 PM",8326,1454,"Special Populations Massage",90
675786,"6/15/2020 1:54:44 PM","6/15/2020 1:54:44 PM",8326,1313,"Common Medical Conditions",100
675787,"6/15/2020 1:55:03 PM","6/15/2020 1:55:03 PM",8326,1283,"Assessment & Documentation Skills",100
675789,"6/15/2020 1:55:39 PM","6/15/2020 1:55:39 PM",8326,1319,"Corrective Exercise Specialis",97
675790,"6/15/2020 1:55:55 PM","6/15/2020 1:55:55 PM",8326,1448,"Spa Treatments",96
675791,"6/15/2020 1:56:24 PM","6/15/2020 1:56:24 PM",8326,1406,"Movement Modalities",100
675792,"6/15/2020 1:56:43 PM","6/15/2020 1:56:43 PM",8326,1307,"Clinical Internship (7)",100
675793,"6/15/2020 1:57:09 PM","6/15/2020 1:57:09 PM",8326,1327,"Craniosacral Therapy",95
675794,"6/15/2020 1:57:25 PM","6/15/2020 1:57:25 PM",8326,1343,"Energy Balancing",92
675795,"6/15/2020 1:57:44 PM","6/15/2020 1:57:44 PM",8326,1336,"Eastern Bodywork Techniques",80
675796,"6/15/2020 1:57:59 PM","6/15/2020 1:57:59 PM",8326,1311,"Clinical Internship (8)",100
675797,"6/15/2020 1:58:22 PM","6/15/2020 1:58:22 PM",8326,1395,"Medical Massage",90
675798,"6/15/2020 1:58:39 PM","6/15/2020 1:58:39 PM",8326,1393,"Massage in a Healthcare Setting",100
675799,"6/15/2020 1:58:56 PM","6/15/2020 1:58:56 PM",8326,1420,"Oncology Massage",93
675800,"6/15/2020 1:59:09 PM","6/15/2020 1:59:09 PM",8326,1312,"Clinical Internship (9)",100
675801,"6/15/2020 2:11:58 PM","6/15/2020 2:11:58 PM",8397,1274,"Anatomy & Physiology 1A_750v2",94
675802,"6/15/2020 2:12:14 PM","6/15/2020 2:12:14 PM",8397,1289,"Basic Swedish Massage A_750v2",94
675803,"6/15/2020 2:12:32 PM","6/15/2020 2:12:32 PM",8397,1369,"Interpersonal Communications_750v2",99
675804,"6/15/2020 2:12:59 PM","6/15/2020 2:12:59 PM",8397,1277,"Anatomy & Physiology 1B",92
675805,"6/15/2020 2:13:15 PM","6/15/2020 2:13:15 PM",8397,1286,"Basic Swedish B",98
675806,"6/15/2020 2:13:53 PM","6/15/2020 2:13:53 PM",8397,1443,"Self-Care",88
675807,"6/15/2020 2:15:17 PM","6/15/2020 2:15:17 PM",8397,1385,"Kinetic Anatomy_750v2",94
675808,"6/15/2020 2:15:39 PM","6/15/2020 2:15:39 PM",8397,1280,"Anatomy & Physiology 2_750v2",89
675809,"6/15/2020 2:15:54 PM","6/15/2020 2:15:54 PM",8397,1357,"Hydrotherapy_750v2",100
675810,"6/15/2020 2:16:08 PM","6/15/2020 2:16:08 PM",8397,1435,"Reflexology_750v2",92
675811,"6/15/2020 2:16:37 PM","6/15/2020 2:16:37 PM",8397,1262,"Advanced Massage Techniques_750v2",89
675812,"6/15/2020 2:17:00 PM","6/15/2020 2:17:00 PM",8397,1421,"Pathology_750v2",82
675813,"6/15/2020 2:17:20 PM","6/15/2020 2:17:20 PM",8397,1337,"Eastern Movement Therapies_750v2",83
675814,"6/15/2020 2:17:45 PM","6/15/2020 2:17:45 PM",8397,1407,"Neuromuscular Massage_800",96
675815,"6/15/2020 2:18:02 PM","6/15/2020 2:18:02 PM",8397,1429,"Professional Development",99
675816,"6/15/2020 2:18:33 PM","6/15/2020 2:18:33 PM",8397,1458,"Sports Massage_800",93
675817,"6/15/2020 2:18:49 PM","6/15/2020 2:18:49 PM",8397,1344,"Ethics & Professionalism_800",100
675818,"6/15/2020 2:19:04 PM","6/15/2020 2:19:04 PM",8397,1465,"Wellness & Nutrition_800",91
